tray,coordinate,temperature,replicate,DAS
D.2,b1,6C,rep2,0
D.2,b1,6C,rep2,1
D.2,b1,6C,rep2,2
D.2,b1,6C,rep2,3
D.2,b1,6C,rep2,4
D.2,b1,6C,rep2,5
D.2,b1,6C,rep2,6
D.2,b1,6C,rep2,7
D.2,b1,6C,rep2,8
D.2,b1,6C,rep2,9
D.2,b1,6C,rep2,10
D.2,b1,6C,rep2,11
D.2,b1,6C,rep2,12
D.2,b1,6C,rep2,13
D.2,b1,6C,rep2,14
D.2,b1,6C,rep2,15
D.2,b1,6C,rep2,16
D.2,b1,6C,rep2,17
D.2,b1,6C,rep2,18
D.2,b1,6C,rep2,19
D.2,b1,6C,rep2,20
D.2,b1,6C,rep2,21
A.8,d7,6C,rep3,0
A.8,d7,6C,rep3,1
A.8,d7,6C,rep3,2
A.8,d7,6C,rep3,3
A.8,d7,6C,rep3,4
A.8,d7,6C,rep3,5
A.8,d7,6C,rep3,6
A.8,d7,6C,rep3,7
A.8,d7,6C,rep3,8
A.8,d7,6C,rep3,9
A.8,d7,6C,rep3,10
A.8,d7,6C,rep3,11
A.8,d7,6C,rep3,12
A.8,d7,6C,rep3,13
A.8,d7,6C,rep3,14
A.8,d7,6C,rep3,15
A.8,d7,6C,rep3,16
A.8,d7,6C,rep3,17
A.8,d7,6C,rep3,18
A.8,d7,6C,rep3,19
A.8,d7,6C,rep3,20
A.8,d7,6C,rep3,21
A.4,e5,6C,rep2,0
A.4,e5,6C,rep2,1
A.4,e5,6C,rep2,2
A.4,e5,6C,rep2,3
A.4,e5,6C,rep2,4
A.4,e5,6C,rep2,5
A.4,e5,6C,rep2,6
A.4,e5,6C,rep2,7
A.4,e5,6C,rep2,8
A.4,e5,6C,rep2,9
A.4,e5,6C,rep2,10
A.4,e5,6C,rep2,11
A.4,e5,6C,rep2,12
A.4,e5,6C,rep2,13
A.4,e5,6C,rep2,14
A.4,e5,6C,rep2,15
A.4,e5,6C,rep2,16
A.4,e5,6C,rep2,17
A.4,e5,6C,rep2,18
A.4,e5,6C,rep2,19
A.4,e5,6C,rep2,20
A.4,e5,6C,rep2,21
D.2,c2,6C,rep2,0
D.2,c2,6C,rep2,1
D.2,c2,6C,rep2,2
D.2,c2,6C,rep2,3
D.2,c2,6C,rep2,4
D.2,c2,6C,rep2,5
D.2,c2,6C,rep2,6
D.2,c2,6C,rep2,7
D.2,c2,6C,rep2,8
D.2,c2,6C,rep2,9
D.2,c2,6C,rep2,10
D.2,c2,6C,rep2,11
D.2,c2,6C,rep2,12
D.2,c2,6C,rep2,13
D.2,c2,6C,rep2,14
D.2,c2,6C,rep2,15
D.2,c2,6C,rep2,16
D.2,c2,6C,rep2,17
D.2,c2,6C,rep2,18
D.2,c2,6C,rep2,19
D.2,c2,6C,rep2,20
D.2,c2,6C,rep2,21
C.6,d7,16C,rep3,0
C.6,d7,16C,rep3,1
C.6,d7,16C,rep3,2
C.6,d7,16C,rep3,3
C.6,d7,16C,rep3,4
C.6,d7,16C,rep3,5
C.6,d7,16C,rep3,6
C.6,d7,16C,rep3,7
C.6,d7,16C,rep3,8
C.6,d7,16C,rep3,9
C.6,d7,16C,rep3,10
C.6,d7,16C,rep3,11
C.6,d7,16C,rep3,12
C.6,d7,16C,rep3,13
C.6,d7,16C,rep3,14
C.6,d7,16C,rep3,15
C.6,d7,16C,rep3,16
C.6,d7,16C,rep3,17
C.6,d7,16C,rep3,18
C.6,d7,16C,rep3,19
C.6,d7,16C,rep3,20
C.6,d7,16C,rep3,21
D.7,d6,6C,rep3,0
D.7,d6,6C,rep3,1
D.7,d6,6C,rep3,2
D.7,d6,6C,rep3,3
D.7,d6,6C,rep3,4
D.7,d6,6C,rep3,5
D.7,d6,6C,rep3,6
D.7,d6,6C,rep3,7
D.7,d6,6C,rep3,8
D.7,d6,6C,rep3,9
D.7,d6,6C,rep3,10
D.7,d6,6C,rep3,11
D.7,d6,6C,rep3,12
D.7,d6,6C,rep3,13
D.7,d6,6C,rep3,14
D.7,d6,6C,rep3,15
D.7,d6,6C,rep3,16
D.7,d6,6C,rep3,17
D.7,d6,6C,rep3,18
D.7,d6,6C,rep3,19
D.7,d6,6C,rep3,20
D.7,d6,6C,rep3,21
C.9,e3,6C,rep3,0
C.9,e3,6C,rep3,1
C.9,e3,6C,rep3,2
C.9,e3,6C,rep3,3
C.9,e3,6C,rep3,4
C.9,e3,6C,rep3,5
C.9,e3,6C,rep3,6
C.9,e3,6C,rep3,7
C.9,e3,6C,rep3,8
C.9,e3,6C,rep3,9
C.9,e3,6C,rep3,10
C.9,e3,6C,rep3,11
C.9,e3,6C,rep3,12
C.9,e3,6C,rep3,13
C.9,e3,6C,rep3,14
C.9,e3,6C,rep3,15
C.9,e3,6C,rep3,16
C.9,e3,6C,rep3,17
C.9,e3,6C,rep3,18
C.9,e3,6C,rep3,19
C.9,e3,6C,rep3,20
C.9,e3,6C,rep3,21
B.3,b6,16C,rep3,0
B.3,b6,16C,rep3,1
B.3,b6,16C,rep3,2
B.3,b6,16C,rep3,3
B.3,b6,16C,rep3,4
B.3,b6,16C,rep3,5
B.3,b6,16C,rep3,6
B.3,b6,16C,rep3,7
B.3,b6,16C,rep3,8
B.3,b6,16C,rep3,9
B.3,b6,16C,rep3,10
B.3,b6,16C,rep3,11
B.3,b6,16C,rep3,12
B.3,b6,16C,rep3,13
B.3,b6,16C,rep3,14
B.3,b6,16C,rep3,15
B.3,b6,16C,rep3,16
B.3,b6,16C,rep3,17
B.3,b6,16C,rep3,18
B.3,b6,16C,rep3,19
B.3,b6,16C,rep3,20
B.3,b6,16C,rep3,21
A.1,a2,16C,rep2,0
A.1,a2,16C,rep2,1
A.1,a2,16C,rep2,2
A.1,a2,16C,rep2,3
A.1,a2,16C,rep2,4
A.1,a2,16C,rep2,5
A.1,a2,16C,rep2,6
A.1,a2,16C,rep2,7
A.1,a2,16C,rep2,8
A.1,a2,16C,rep2,9
A.1,a2,16C,rep2,10
A.1,a2,16C,rep2,11
A.1,a2,16C,rep2,12
A.1,a2,16C,rep2,13
